tweet_Id,text,name,screen_name,UTC,created_at,favorites,retweet_count,language,client,tweet_type,urls,hashtags,mentions,media_type,media_urls,,,
1.38E+18,"RT @dwolla : RTP® is here! 

We are excited to announce real-time bank transfers are now available via Dwolla’s platform.
https://t.co/Z2uNj1ZocR
#realtimepayments
#rtp",Brad Feld,bfeld,2021-04-07T14:54:02.000Z,Wed Apr 07 14:54:02 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://hubs.la/H0Kz7l-0 ,2,0,,,,,
1.38E+18,Partial Q1 Vacation – Books and Running https://t.co/NkN5Ai7At9,Brad Feld,bfeld,2021-04-06T15:12:58.000Z,Tue Apr 06 15:12:58 +0000 2021,9,4,en,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Tweet,https://feld.com/archives/2021/04/partial-q1-vacation-books-and-running.html ,0,0,,,,,
1.38E+18,Supreme Court hands Google a victory in a multibillion-dollar case against Oracle https://t.co/DwTNKnnAtA,Brad Feld,bfeld,2021-04-05T22:10:25.000Z,Mon Apr 05 22:10:25 +0000 2021,9,4,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://buff.ly/3cTipv4 ,0,0,,,,,
1.38E+18,"RT @mediarchaeology : we finally finished*! we have accessioned all the magazines that came to us from @benjedwards by way of @bfeld! thank you so much, both of you, this collection is an invaluable resource!

*finished is a relative term that can only be applied compartmentally ?? https://t.co/KCRwPRzqFU",Brad Feld,bfeld,2021-04-05T22:08:32.000Z,Mon Apr 05 22:08:32 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,2,photo,https://pbs.twimg.com/media/Ex_OMujU4AA1oS6.jpg,,,
1.38E+18,Welcome to Spring https://t.co/wnK7cQVSUv,Brad Feld,bfeld,2021-04-05T14:58:32.000Z,Mon Apr 05 14:58:32 +0000 2021,16,2,en,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Tweet,https://feld.com/archives/2021/04/welcome-to-spring.html ,0,0,,,,,
1.38E+18,"RT @chrismoodycom : If you live in Boulder, I have a simple proposal that I'd like you to consider.  If supportive, please retweet and tell your friends!  #BoulderStrongTableMesa

https://t.co/3Y4v3rsADc",Brad Feld,bfeld,2021-04-05T14:28:00.000Z,Mon Apr 05 14:28:00 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://chrismoody.com/boulderstrongtablemesa-april-10-11/ ,1,0,,,,,
1.38E+18,"RT @BENovator : LAUNCH DAY ?? HAS ARRIVED
????? https://t.co/wc7vkZxo5m

“Jam-packed with hard-earned tips, tactics and approaches for entrepreneurs of all stripes.” -SETH GODIN https://t.co/CzgnY8VEjr",Brad Feld,bfeld,2021-04-02T00:48:29.000Z,Fri Apr 02 00:48:29 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://bit.ly/YouDontNeedThisBook ,0,0,photo,https://pbs.twimg.com/media/Ex45HFtWgAAwILv.jpg,,,
1.38E+18,Is an NFT of Andy Warhol's signature too recursive? https://t.co/4DTNaoXxxD,Brad Feld,bfeld,2021-03-26T20:30:42.000Z,Fri Mar 26 20:30:42 +0000 2021,9,1,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://buff.ly/3cqmVRJ ,0,0,,,,,
1.38E+18,RT @cmschroed : I was pleased to support families of Boulder King Soopers Shooting https://t.co/aQumoOfjkV (thanks for the work of @bfeld ),Brad Feld,bfeld,2021-03-26T19:14:22.000Z,Fri Mar 26 19:14:22 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://gofund.me/a2d9ced8 ,0,1,,,,,
1.38E+18,Boulder to Honor Victims of Shooting Through Community-Wide Moment of Silence https://t.co/CfFpHLN3ve https://t.co/FW0mM9K7GE,Brad Feld,bfeld,2021-03-26T18:58:56.000Z,Fri Mar 26 18:58:56 +0000 2021,21,4,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://buff.ly/3d8fTAa ,0,0,photo,https://pbs.twimg.com/media/ExbWlZkWQAAI4MV.png,,,
